date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,score1,score2
2009-12-13,2009,OAK,WAS,1374.035,1412.907,0.5375304911820636,0.4624695088179363,1376.3627984,1418.81949773,76.33432595612999,133.31097313940998,4.25441894875,12.6751961967,13,34
2009-12-13,2009,HOU,SEA,1489.381,1436.158,0.6638606135723903,0.33613938642760965,1476.76416911,1453.69794606,174.41480880615,86.05846931418,12.8904012369,-0.536654187126,34,7
2009-12-13,2009,TB,NYJ,1358.421,1523.546,0.35976924388225284,0.6402307561177472,1342.83874801,1517.55442602,86.88681960816,40.11140202201,17.0973664583,-34.4933400331,3,26
2009-12-13,2009,NE,CAR,1630.905,1485.577,0.7704307935951645,0.22956920640483547,1626.84058901,1479.73561424,227.00558725679997,30.145457239358997,15.5539908029,-26.5148563619,20,10
2009-12-13,2009,CHI,GB,1450.35,1561.758,0.4336079006228949,0.5663920993771052,1442.92692335,1565.87654992,102.42320233332,196.02635204856,-11.0762227232,23.0450215537,14,21
2009-12-13,2009,MIN,CIN,1623.498,1564.767,0.6708987749793939,0.3291012250206061,1622.1245152,1562.78175259,188.69407927755,110.51007228558,39.558338769,-1.78193917229,30,10
2009-12-13,2009,JAX,MIA,1460.683,1507.315,0.5264090773714863,0.47359092262851366,1463.95320097,1494.91154315,120.54883682720998,85.58099940984,-1.06460469739,-19.018948555,10,14
2009-12-13,2009,TEN,STL,1554.021,1255.327,0.8902786913644025,0.10972130863559748,1532.53737648,1277.70869808,131.1824756088,24.484679999999997,17.7434531265,-3.46352661593,47,7
2009-12-13,2009,NYG,PHI,1557.092,1631.715,0.48615492995091986,0.5138450700490802,1544.74406591,1623.63901563,119.69066445171,151.76357160459,6.91964828018,-8.68712803947,38,45
2009-12-13,2009,KC,BUF,1336.83,1417.26,0.4778090325185231,0.5221909674814769,1341.15538268,1420.12211377,49.87643410662,43.39191725385,-2.36846686794,-30.2831598724,10,16
2009-12-13,2009,BAL,DET,1583.195,1247.432,0.9094532476286918,0.09054675237130816,1554.53862965,1264.4383527,87.35474677644,49.799208746759994,-4.94594289176,-30.8031696331,48,3
2009-12-13,2009,IND,DEN,1743.928,1533.638,0.8298686466315078,0.17013135336849217,1714.6838238,1534.95736241,233.7469466046,113.74372239087,11.7463241417,6.15140657475,28,16
2009-12-14,2009,SF,ARI,1445.099,1615.832,0.352367652140744,0.647632347859256,1460.00131937,1612.18419833,75.53963268324,214.91894409479997,-20.5518063598,18.7162138407,24,9
2009-12-17,2009,JAX,IND,1443.596,1751.685,0.19792201224462955,0.8020779877553704,1445.6029314,1723.75085323,106.94914477137,219.68738655402,-7.89416977274,4.12922535387,31,35
2009-12-19,2009,NO,DAL,1739.115,1562.716,0.8005290719170447,0.1994709280829553,1730.96775091,1556.39454056,267.79375522185,179.81392165836,25.2680073573,20.9678986174,17,24
2009-12-20,2009,STL,HOU,1248.334,1510.64,0.2430951473557565,0.7569048526442436,1269.96110364,1499.73171046,10.145509262031,187.2236352987,-10.4599356541,18.5022332942,13,16
2009-12-20,2009,SEA,TB,1414.899,1336.549,0.6953366950036944,0.30466330499630556,1430.73040471,1317.88002047,87.02796514863,61.2394962795,-0.0243308752704,3.41883647113,7,24
2009-12-20,2009,SD,CIN,1648.224,1545.795,0.7238817429066585,0.2761182570933415,1634.62592608,1546.35366561,196.44767694915,106.64532591735,18.9742174286,-3.79205814374,27,24
2009-12-20,2009,KC,CLE,1318.364,1339.572,0.5626901198145962,0.43730988018540384,1321.83906189,1339.94188426,34.12166043198,64.93453067937,-10.1540207683,19.6188551592,34,41
2009-12-20,2009,BAL,CHI,1589.06,1432.69,0.7814793409836278,0.2185206590163722,1561.98866848,1428.72899829,93.89334048666,100.45037718672,-1.29482842282,-11.7790475494,31,7
2009-12-20,2009,PHI,SF,1651.845,1482.824,0.7936605405575361,0.2063394594424639,1643.8336636,1499.11250998,154.79872474704,69.80235870432,-6.73868016349,-21.5734603527,27,13
2009-12-20,2009,CAR,MIN,1475.528,1642.47,0.35736360349407653,0.6426363965059234,1471.38529806,1638.55260219,34.44132320838,177.75941895096,-23.0411805593,32.113091667,26,7
2009-12-20,2009,TEN,MIA,1561.014,1524.402,0.6422000185184725,0.3577999814815275,1540.28497092,1513.26181272,139.48523461092,87.24648341508,21.2744834082,-17.2352591246,27,24
2009-12-20,2009,NYJ,ATL,1545.418,1498.799,0.6553252850557733,0.34467471494422675,1542.51315356,1495.87553461,53.22890695584,98.50702113483,-18.7017818953,-9.67843411372,7,10
2009-12-20,2009,DET,ARI,1241.567,1578.106,0.17320167514665388,0.8267983248533461,1256.98831387,1573.07300771,36.12266637737999,182.47151476718997,-35.3974925008,1.53212444122,24,31
2009-12-20,2009,PIT,GB,1553.947,1579.419,0.5566411916592671,0.44335880834073293,1534.39455649,1580.07447498,122.89780562994,181.19769268161,5.72068642559,14.3007872844,37,36
2009-12-20,2009,BUF,NE,1435.726,1640.954,0.30848379835749307,0.6915162016425069,1439.43843456,1635.19090518,37.35139233804,216.01680834294,-31.2786289924,9.27780988769,10,17
2009-12-20,2009,DEN,OAK,1525.881,1340.405,0.808741861921862,0.19125813807813796,1525.89033298,1341.25213794,122.11358019860998,64.11050077245,10.2782504394,-16.5727892075,19,20
2009-12-21,2009,WAS,NYG,1446.537,1536.962,0.4634756585210079,0.5365243414789921,1453.93015819,1524.54941794,135.37950143454,146.42141693289,13.0575046548,20.0318794066,12,45
2009-12-25,2009,TEN,SD,1570.497,1655.338,0.47147750492320184,0.5285224950767982,1548.84259037,1641.55213186,144.19506418019998,196.77906266172,22.8058151158,17.9981675307,17,42
2009-12-27,2009,NO,TB,1701.719,1379.547,0.9028009525968436,0.09719904740315632,1693.90475995,1364.1011837,252.68328280503,67.41610385367,16.3761874779,6.33619843469,17,20
2009-12-27,2009,PIT,BAL,1559.985,1601.842,0.533256282610089,0.46674371738991105,1541.2937684,1576.18033168,147.67090121157,113.40986525847,17.9007000142,8.64924380668,23,20
