"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Sunday","Home",44,6,14,1,"outdoors","astroturf",70,10,3150.44373693,32.297834957097,11,20,22,2,-29
"REG","Sunday","Home",37,21,7,0,"outdoors","grass",54,10,3089.21390034,6.00426280384,18,7,8,17,20
"REG","Sunday","Home",30.5,6,7,0,"outdoors","grass",12,8,3115.45798976,-3.2065258778,29,13,18,11,9
"REG","Sunday","Home",47,10,7,1,"dome","matrixturf",72,0,3153.8144505312,-5.82691690427521,21,7,14,16,16
"REG","Sunday","Home",48.5,7,10,0,"closed","fieldturf",72,0,2809.11995780944,23.7460860399348,22,4,23,17,12
"REG","Sunday","Home",38,7,6,1,"outdoors","grass",52,6,3099.87009426,-21.05506558208,26,28,4,2,-4
"REG","Sunday","Home",48,7,6,1,"open","grass",72,0,3199.81772523,37.0480249481,9,12,20,3,-20
"REG","Sunday","Home",37.5,7,7,0,"closed","grass",72,0,2797.88970706,33.7107039248,32,32,32,32,0
"REG","Sunday","Home",48.5,14,7,1,"outdoors","fieldturf",47,8,3076.20478811,26.9545055531,1,18,7,2,-22
"REG","Sunday","Home",46,7,6,0,"dome","fieldturf",72,0,3030.22741046,21.56239974467,27,16,1,5,15
"REG","Sunday","Home",49,7,7,1,"outdoors","grass",85,7,3105.62480015,18.16078235793,17,24,25,30,-2
"REG","Sunday","Home",47,7,14,0,"outdoors","sportturf",60,10,2811.66230274,20.09235121384,14,27,19,14,-18
"REG","Sunday","Home",41.5,7,7,0,"outdoors","grass",90,2,2915.09773128,-71.477799947,30,30,30,30,0
"REG","Monday","Home",40,8,11,1,"outdoors","grass",2,9,3013.31248331,12.84429953637,26,32,15,10,-11
"REG","Sunday","Home",45,7,7,0,"outdoors","fieldturf",43,1,2921.44863834,38.0270326113,30,28,2,10,10
"REG","Sunday","Home",45.5,7,7,0,"outdoors","fieldturf",75,12,2987.73472786,8.35994254595,24,5,26,3,-4
"REG","Thursday","Home",43.5,4,4,0,"outdoors","grass",57,0,3033.29838897,24.8729349869,22,17,18,6,-7
"REG","Sunday","Home",38.5,7,7,1,"outdoors","grass",76,8,3058.01420293,-1.64287284914,23,14,7,25,27
"REG","Monday","Home",37.5,8,8,0,"outdoors","grass",64,8,3198.88240507,-123.77683208178,10,16,10,6,-10
"REG","Sunday","Home",46.5,7,7,0,"dome","matrixturf",72,0,3006.54201294199,2.85358390021683,11,27,21,29,-8
"REG","Sunday","Home",52.5,7,7,0,"outdoors","grass",75,6,3181.44753614,30.20349444955,32,32,32,32,0
"REG","Sunday","Home",46,7,7,1,"outdoors","fieldturf",46,0,3098.9137093122,-91.9937073035719,27,11,5,7,18
"REG","Sunday","Home",36.5,7,7,1,"open","grass",72,0,2742.49272256,-26.60088088444,32,7,12,16,29
"REG","Sunday","Home",46,10,7,0,"dome","astroturf",72,0,3060.61343525,10.98040685449,16,12,6,10,8
"REG","Sunday","Home",48.5,7,7,0,"outdoors","grass",58,8,3132.03173227,21.16716043767,15,9,29,18,-5
"REG","Sunday","Home",55.5,6,7,0,"outdoors","grass",28,13,3228.08813789,-99.2003700054,10,15,9,5,-9
"REG","Sunday","Home",44.5,7,14,0,"outdoors","grass",48,1,3294.97501893275,22.9742826911763,2,25,15,12,-26
"REG","Sunday","Home",39.5,6,7,0,"outdoors","grass",69,7,2902.47235035,-2.9678393527,26,3,23,23,23
"REG","Sunday","Home",35.5,7,7,1,"outdoors","fieldturf",61,3,3144.10054475,44.8800540874,13,14,5,8,2
"REG","Sunday","Home",49,7,7,0,"dome","fieldturf",72,0,2834.76512357396,-17.6391307260854,5,25,16,22,-14
"REG","Sunday","Home",43,7,7,1,"dome","sportturf",72,0,3159.39000166,36.76545028402,27,12,18,28,25
"REG","Sunday","Home",43,7,7,0,"outdoors","astroplay",38,15,2827.22531179,28.3172445473,21,10,23,18,6
"REG","Sunday","Home",44.5,7,7,0,"outdoors","grass",77,10,3089.66544523,-29.97973467588,32,32,32,32,0
"REG","Sunday","Home",36,10,7,0,"outdoors","grass",31,12,3011.99172491,-28.0482027888,30,26,9,17,12
"REG","Sunday","Home",40,7,7,1,"outdoors","fieldturf",62,16,2925.9727138,2.539956914556,5,32,1,21,-7
"DIV","Sunday","Home",45.5,7,14,0,"outdoors","grass",53,6,3405.9916635,-5.47315902257,4,5,2,5,2
