"total_result","total_line","roof","surface","temp","wind","div_game"
"Under",46,"dome","astroturf",72,0,0
"Under",37,"outdoors","grass",35,7,0
"Over",43,"outdoors","grass",51,9,0
"Under",38,"outdoors","grass",51,13,1
"Under",35,"outdoors","grass",51,8,0
"Over",35.5,"outdoors","grass",44,5,1
"Under",39.5,"outdoors","grass",76,6,0
"Over",41,"dome","astroturf",72,0,1
"Under",38,"outdoors","grass",53,10,1
"Under",41,"outdoors","grass",46,0,0
"Under",43,"outdoors","fieldturf",41,12,1
"Under",47,"dome","astroturf",72,0,1
"Over",44,"outdoors","grass",58,20,0
"Under",35.5,"outdoors","grass",52,9,1
"Under",44.5,"outdoors","grass",45,25,0
"Over",43,"outdoors","grass",56,10,0
"Under",39,"dome","astroturf",72,0,1
"Over",36.5,"outdoors","astroturf",40,6,0
"Under",36.5,"outdoors","grass",42,8,1
"Under",35.5,"outdoors","astroturf",47,5,1
"Under",37.5,"outdoors","grass",33,12,1
"Over",42.5,"dome","astroturf",72,0,0
"Over",36.5,"outdoors","grass",37,15,0
"Over",37.5,"outdoors","fieldturf",43,10,0
"Under",55,"dome","astroturf",72,0,1
"Under",36.5,"outdoors","grass",83,5,1
"Under",38.5,"outdoors","grass",71,8,1
"Over",44.5,"outdoors","grass",54,15,1
"Under",34.5,"outdoors","grass",41,8,0
"Under",41,"outdoors","grass",38,3,1
"Over",45,"outdoors","grass",74,6,1
"Under",37.5,"outdoors","grass",46,18,1
"Under",46.5,"outdoors","grass",62,8,1
"Under",38,"outdoors","astroturf",34,0,1
"Under",33,"outdoors","grass",45,10,1
"Under",36.5,"outdoors","grass",44,8,1
"Over",46.5,"dome","astroturf",72,0,1
"Over",46.5,"dome","astroturf",72,0,0
"Over",37.5,"outdoors","grass",49,0,1
"Under",35,"outdoors","grass",40,7,0
"Under",34.5,"outdoors","grass",46,0,1
"Under",43,"outdoors","grass",52,0,0
"Under",36.5,"outdoors","fieldturf",46,20,0
"Over",42.5,"outdoors","grass",62,17,0
"Over",33.5,"outdoors","grass",42,4,1
"Over",51,"dome","astroturf",72,0,1
"Under",45.5,"outdoors","grass",52,6,0
"Under",37,"outdoors","grass",36,14,1
"Under",40,"outdoors","grass",51,8,0
"Over",41,"dome","astroturf",72,0,0
"Under",33.5,"outdoors","grass",46,0,1
"Over",46.5,"outdoors","grass",51,10,1
"Under",40,"outdoors","grass",28,15,1
"Under",45.5,"dome","astroturf",72,0,0
"Over",34,"outdoors","grass",43,7,0
"Over",36,"outdoors","grass",45,13,0
"Over",38,"outdoors","grass",74,9,0
"Over",33,"outdoors","grass",51,14,0
"Under",37,"outdoors","grass",58,5,1
"Under",37,"outdoors","grass",24,15,0
"Over",47,"dome","astroturf",72,0,1
"Under",34,"outdoors","grass",65,5,0
"Under",39.5,"outdoors","grass",42,7,0
"Over",33.5,"outdoors","grass",20,10,1
"Over",39.5,"outdoors","astroturf",35,5,0
"Under",38.5,"dome","astroturf",72,0,1
"Under",40,"outdoors","grass",19,14,1
"Over",40,"outdoors","grass",53,5,0
"Under",38.5,"outdoors","grass",75,5,0
"Under",37,"outdoors","grass",32,15,1
"Over",58.5,"dome","astroturf",72,0,0
"Over",37.5,"outdoors","grass",28,6,1
"Over",34.5,"outdoors","fieldturf",31,16,1
"Under",41,"outdoors","grass",24,3,1
"Over",39,"outdoors","grass",63,8,1
"Over",39.5,"dome","astroturf",72,0,0
"Under",51,"dome","astroturf",72,0,0
"Over",36,"outdoors","grass",36,3,0
"Over",33.5,"outdoors","grass",37,14,0
"Under",36,"dome","astroturf",72,0,0
"Under",46.5,"dome","astroturf",72,0,1
"Over",36.5,"outdoors","grass",37,5,0
"Over",34.5,"outdoors","grass",31,5,1
"Over",37.5,"outdoors","grass",37,8,1
"Over",36.5,"outdoors","grass",40,8,1
"Under",48,"dome","astroturf",72,0,1
"Over",36.5,"outdoors","grass",67,14,1
"Over",41.5,"outdoors","grass",55,3,0
"Under",40,"outdoors","fieldturf",49,0,1
"Under",33,"outdoors","grass",60,15,0
"Under",37.5,"outdoors","grass",36,11,0
"Over",33,"outdoors","fieldturf",46,10,0
"Over",42,"outdoors","grass",53,8,0
"Over",39,"outdoors","grass",28,4,0
"Under",33,"outdoors","grass",73,8,0
"Over",32.5,"outdoors","grass",31,8,0
"Under",41.5,"outdoors","grass",25,3,0
"Over",32,"outdoors","grass",21,10,1
"Over",54.5,"dome","astroturf",72,0,0
"Over",35.5,"outdoors","grass",50,16,0
"Over",51,"dome","astroturf",72,0,0
"Under",52.5,"dome","astroturf",72,0,0
"Under",39,"outdoors","grass",73,7,0
"Over",43,"outdoors","astroturf",86,6,1
"Under",33,"outdoors","grass",78,12,0
"Over",41,"outdoors","astroplay",85,3,1
"Over",37,"outdoors","grass",90,7,0
"Over",36,"outdoors","grass",86,0,0
"Over",42.5,"outdoors","grass",83,9,0
"Over",44,"outdoors","grass",85,16,1
"Over",35.5,"outdoors","grass",87,12,0
"Over",37,"outdoors","grass",83,0,0
"Over",44.5,"outdoors","grass",76,5,0
"Under",51,"outdoors","grass",83,4,0
"Over",40,"outdoors","grass",70,7,0
"Over",37.5,"outdoors","grass",90,6,1
"Under",33.5,"closed","grass",72,0,0
"Over",37.5,"outdoors","grass",86,0,0
"Under",45,"dome","astroturf",72,0,0
"Under",32,"outdoors","grass",78,0,0
"Over",35.5,"outdoors","grass",72,7,0
"Under",39,"outdoors","grass",72,6,1
"Under",37.5,"outdoors","astroturf",81,0,0
"Under",47,"dome","astroturf",72,0,0
"Under",46,"outdoors","grass",66,7,0
"Over",45.5,"dome","astroturf",72,0,0
"Over",41,"outdoors","grass",78,7,1
"Under",40.5,"outdoors","fieldturf",62,8,1
"Over",46,"dome","astroturf",72,0,0
"Over",49,"dome","astroturf",72,0,0
"Under",34,"outdoors","grass",74,8,0
"Under",44,"outdoors","grass",67,11,0
"Over",39.5,"outdoors","grass",70,7,0
"Under",44,"outdoors","grass",76,8,1
"Over",40.5,"outdoors","astroplay",53,6,0
"Under",38,"open","grass",72,0,1
"Under",40.5,"outdoors","grass",90,12,1
"Under",44.5,"dome","astroturf",72,0,0
"Over",43.5,"outdoors","grass",80,20,0
"Over",36.5,"outdoors","fieldturf",82,12,1
"Over",40.5,"outdoors","grass",72,9,0
"Under",39,"outdoors","grass",100,0,0
"Over",47,"outdoors","grass",59,3,0
"Over",44,"dome","fieldturf",72,0,1
"Under",39,"outdoors","grass",82,8,0
"Under",44,"outdoors","grass",65,5,0
"Under",42.5,"dome","astroturf",72,0,0
"Under",44,"outdoors","grass",79,6,0
"Over",46.5,"outdoors","astroturf",66,12,0
"Over",45,"dome","fieldturf",72,0,0
"Under",41.5,"outdoors","grass",65,5,0
"Under",41.5,"outdoors","grass",87,6,0
"Over",44.5,"outdoors","grass",76,10,0
"Over",36,"outdoors","fieldturf",64,10,0
"Under",44,"outdoors","grass",64,0,1
"Under",44,"dome","astroturf",72,0,0
"Under",38.5,"outdoors","grass",90,13,0
"Over",33.5,"outdoors","grass",76,6,0
"Over",45,"outdoors","grass",68,9,0
"Under",40.5,"outdoors","grass",67,8,0
"Over",44,"outdoors","fieldturf",59,6,0
"Over",35,"outdoors","grass",71,0,0
"Under",38.5,"dome","astroturf",72,0,1
"Over",53.5,"outdoors","astroturf",64,14,0
"Under",35,"outdoors","grass",74,9,0
"Over",34.5,"outdoors","astroturf",84,0,1
"Over",43,"dome","astroturf",72,0,0
"Under",43.5,"outdoors","grass",87,10,1
"Over",43.5,"dome","astroturf",72,0,0
"Over",43.5,"outdoors","grass",74,6,0
"Under",39.5,"outdoors","grass",57,9,1
"Over",46.5,"outdoors","grass",66,10,0
"Over",42.5,"outdoors","grass",87,10,0
"Over",41.5,"outdoors","grass",72,5,1
"Over",36.5,"outdoors","grass",65,8,1
"Over",44,"outdoors","astroplay",46,5,1
"Over",40.5,"outdoors","grass",54,15,1
"Under",35,"outdoors","astroturf",56,13,0
"Over",44,"closed","grass",72,0,0
"Under",42,"dome","astroturf",72,0,0
"Over",49,"dome","astroturf",72,0,1
"Under",47,"outdoors","grass",61,10,0
"Under",35.5,"outdoors","grass",60,5,0
"Under",36.5,"outdoors","grass",85,6,0
"Over",45.5,"outdoors","grass",65,4,0
"Over",46.5,"outdoors","grass",67,7,1
"Under",49,"dome","astroturf",72,0,0
"Under",44,"outdoors","grass",65,15,1
"Over",41,"outdoors","grass",58,3,0
"Over",43.5,"outdoors","fieldturf",64,6,1
"Under",35.5,"dome","astroturf",72,0,1
"Under",38,"outdoors","grass",56,5,0
"Under",44.5,"dome","fieldturf",72,0,1
"Over",50.5,"outdoors","grass",51,3,1
"Under",45.5,"outdoors","grass",85,9,1
"Over",48.5,"dome","astroturf",72,0,0
"Under",49,"outdoors","grass",57,10,0
"Over",44.5,"dome","astroturf",72,0,1
"Over",36.5,"outdoors","grass",50,6,0
"Over",47,"outdoors","grass",62,9,1
"Under",36.5,"outdoors","grass",81,5,0
"Under",48,"outdoors","grass",44,15,0
"Under",37,"outdoors","fieldturf",57,7,0
"Under",46,"outdoors","grass",48,3,0
"Over",37.5,"outdoors","grass",61,10,1
"Under",50,"outdoors","astroturf",47,18,0
"Under",31.5,"outdoors","grass",70,7,1
"Over",42,"outdoors","grass",54,6,0
"Under",37,"outdoors","astroturf",60,0,0
"Under",55.5,"outdoors","grass",39,12,1
"Under",46,"dome","astroturf",72,0,1
"Over",47,"dome","astroturf",72,0,1
