total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
40.5,69,5,-13.12138797169,93.35914839,6.81286270597,354.666666666667,282.1,309.809523809524,307.457142857143,0,0,0,0,1,0,0,0,0,1,0,0,Over
46.0,72,0,18.61182094563,228.28421075,2.05799233337,395.777777777778,311.777777777778,337.222222222222,368.691358024691,0,0,1,0,0,0,1,0,0,0,0,0,Under
33.0,47,7,4.9034242588,13.0601271,27.168044237,289.666666666667,326.1,333.666666666667,310.525,0,0,0,0,1,0,1,0,0,0,0,0,Over
33.0,56,3,23.7892330607,141.12645734,0.532707437299999,333.666666666667,325.7,289.666666666667,273.1375,1,0,0,0,1,0,0,0,0,1,0,0,Over
32.0,44,6,-62.387997209422,157.61110276,62.911360616578,257.5,297.333333333333,345.5875,370.412698412698,0,0,0,0,1,0,0,0,0,1,0,0,Under
33.5,63,7,-12.42811829462,277.62331613,26.71421837458,310.0,302.25,278.013888888889,288.78125,0,0,0,0,1,0,0,0,0,1,0,0,Under
52.0,54,0,59.3503495162,200.24182554,2.7177454964,395.1,371.375,340.3875,351.8125,0,0,0,0,1,0,0,0,0,1,0,0,Under
48.5,54,8,-78.05622739693,63.7483745499999,85.25575056567,346.333333333333,499.222222222222,257.0,324.333333333333,0,0,0,0,1,0,0,0,0,1,0,0,Over
42.0,75,7,14.028476575691,100.81796697,14.705138094309,312.777777777778,337.222222222222,286.839506172839,395.777777777778,1,0,0,0,1,0,0,0,0,1,0,0,Under
52.5,72,0,23.196093631348,52.9162676200001,22.168563295652,422.888888888889,332.888888888889,326.333333333333,428.555555555556,1,0,1,0,0,0,1,0,0,0,0,0,Under
50.0,20,3,62.7251586769,67.91960094,14.1235936149,428.555555555556,349.888888888889,332.888888888889,368.650793650794,1,0,0,0,1,0,0,0,0,1,0,0,Over
36.0,37,15,-20.4208777555,237.72925934,51.9749982405,318.2,308.7,363.1625,334.2,1,0,0,0,1,0,0,0,0,1,0,0,Under
